TBLID,GEOID,GEONAME,ORDER,TITLE,ESTIMATE,MG_ERROR
B02011,05000US22071,"Orleans Parish, Louisiana",1,Total:,"12,607",+/-650
B02011,05000US22073,"Ouachita Parish, Louisiana",1,Total:,"2,176",+/-404
B02011,05000US22079,"Rapides Parish, Louisiana",1,Total:,"2,313",+/-176
B02011,05000US22103,"St. Tammany Parish, Louisiana",1,Total:,"5,514","+/-1,005"
B02011,05000US22105,"Tangipahoa Parish, Louisiana",1,Total:,"1,266",+/-217
B02011,05000US22109,"Terrebonne Parish, Louisiana",1,Total:,"1,556",+/-213
B02011,05000US23001,"Androscoggin County, Maine",1,Total:,"1,449",+/-48
B02011,05000US23003,"Aroostook County, Maine",1,Total:,494,+/-115
B02011,05000US23005,"Cumberland County, Maine",1,Total:,"9,350",+/-631
B02011,05000US23011,"Kennebec County, Maine",1,Total:,"1,617",+/-170
B02011,05000US23019,"Penobscot County, Maine",1,Total:,"2,351",+/-132
B02011,05000US23031,"York County, Maine",1,Total:,"3,844",+/-201
B02011,05000US24001,"Allegany County, Maryland",1,Total:,428,+/-232
B02011,05000US24003,"Anne Arundel County, Maryland",1,Total:,"32,648","+/-1,615"
B02011,05000US24005,"Baltimore County, Maryland",1,Total:,"59,250","+/-1,223"
B02011,05000US24009,"Calvert County, Maryland",1,Total:,"2,781",+/-302
B02011,05000US24013,"Carroll County, Maryland",1,Total:,"4,736",+/-445
B02011,05000US24015,"Cecil County, Maryland",1,Total:,"2,363",+/-351
B02011,05000US24017,"Charles County, Maryland",1,Total:,"7,269",+/-647
B02011,05000US24021,"Frederick County, Maryland",1,Total:,"14,278",+/-559
B02011,05000US24025,"Harford County, Maryland",1,Total:,"9,949",+/-548
B02011,05000US24027,"Howard County, Maryland",1,Total:,"65,105","+/-1,766"
B02011,05000US24031,"Montgomery County, Maryland",1,Total:,"178,006","+/-2,442"
B02011,05000US24033,"Prince George's County, Maryland",1,Total:,"46,063","+/-1,582"
B02011,05000US24037,"St. Mary's County, Maryland",1,Total:,"4,362",+/-64
B02011,05000US24043,"Washington County, Maryland",1,Total:,"3,865",+/-375
B02011,05000US24045,"Wicomico County, Maryland",1,Total:,"3,655",+/-206
B02011,05000US24510,"Baltimore city, Maryland",1,Total:,"20,437","+/-1,243"
B02011,05000US25001,"Barnstable County, Massachusetts",1,Total:,"4,151",+/-114
B02011,05000US25003,"Berkshire County, Massachusetts",1,Total:,"2,884",+/-159
B02011,05000US25005,"Bristol County, Massachusetts",1,Total:,"15,490","+/-1,520"
B02011,05000US25009,"Essex County, Massachusetts",1,Total:,"34,342","+/-1,462"
B02011,05000US25011,"Franklin County, Massachusetts",1,Total:,"1,759",+/-53
B02011,05000US25013,"Hampden County, Massachusetts",1,Total:,"13,895",+/-373
B02011,05000US25015,"Hampshire County, Massachusetts",1,Total:,"10,872",+/-587
B02011,05000US25017,"Middlesex County, Massachusetts",1,Total:,"225,256","+/-1,931"
